what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1382623896337
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1382623896338
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1382623896338
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1382623896338
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1382623896339
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1382623896339
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1382623896339
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1382623896340
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1382623896341
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1382623896341
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1382623896341
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1382623896341
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1382623896342
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1382623896342
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1382623896343
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1382623896343
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1382623896344
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1382623896344
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1382623896345
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1382623896345
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1382623896346
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1382623896346
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1382623896346
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1382623896347
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1382623896348
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1382623896348
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1382623896348
started,bundle,org.eclipse.team.svn.core,0.7.9.I20120520-1700,"org.eclipse.team.svn.core",1382623896349
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1382623896349
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20111123-1700,"org.eclipse.team.svn.revision.graph",1382623896349
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20120520-1700,"org.eclipse.team.svn.ui",1382623896350
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit17,2.3.0.I20120520-1700,"org.polarion.eclipse.team.svn.connector.svnkit17",1382623896350
started,bundle,com.instantiations.eclipse.debug,6.0.0.r37x201109091114,"com.instantiations.eclipse.debug",1382623896351
started,bundle,com.instantiations.eclipse.startup,6.0.0.r37x201109091114,"com.instantiations.eclipse.startup",1382623896351
started,bundle,com.instantiations.eclipse.util,6.0.0.r37x201109091114,"com.instantiations.eclipse.util",1382623896351
started,bundle,net.sf.eclipsecs.core,5.5.0.201111092104,"net.sf.eclipsecs.core",1382623896351
started,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1382623896352
started,bundle,net.sourceforge.vrapper.eclipse,0.36.0,"net.sourceforge.vrapper.eclipse",1382623896352
os,sysinfo,,,"linux",1382623896355
arch,sysinfo,,,"x86_64",1382623896355
ws,sysinfo,,,"gtk",1382623896355
locale,sysinfo,,,"en_GB",1382623896355
processors,sysinfo,,,"4",1382623896355
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1382623896355
java.runtime.version,sysinfo,,,"1.7.0_45-b31",1382623896355
java.specification.name,sysinfo,,,"Java Platform API Specification",1382623896355
java.specification.vendor,sysinfo,,,"Oracle Corporation",1382623896355
java.specification.version,sysinfo,,,"1.7",1382623896355
java.vendor,sysinfo,,,"Oracle Corporation",1382623896355
java.version,sysinfo,,,"1.7.0_45",1382623896355
java.vm.info,sysinfo,,,"mixed mode",1382623896355
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1382623896355
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1382623896355
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1382623896355
java.vm.specification.version,sysinfo,,,"1.7",1382623896355
java.vm.vendor,sysinfo,,,"Oracle Corporation",1382623896355
java.vm.version,sysinfo,,,"24.45-b08",1382623896355
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1382623897572
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1382623900684
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382623901743
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382623901744
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1382623901774
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1382623901818
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1382623901821
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382623905844
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382623905844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382623907192
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1382623909550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1382623909550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382623909571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382623913927
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1382623931847
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1382623931939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1382623931950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382623931961
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1382623932050
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1382623932054
started,bundle,com.instantiations.assist.eclipse.junit.editor,7.1.0.r37x201109091155,"com.instantiations.assist.eclipse.junit.editor",1382623932166
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382623941482
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382623941669
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1382623941695
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1382623942168
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382623957870
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382623957979
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1382623957995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382623965981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382623967411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382623968408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382623982469
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382623984320
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382623984320
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1382623986838
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382623991556
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382623991557
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382624002471
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382624002472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624002557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1382624010523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624010539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624016251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624042467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624042485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624042529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624042532
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.move.element",1382624042584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624042597
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1382624051561
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1382624051612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624052854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624053923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624057967
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1382624062972
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1382624063236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624063256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624066520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624195818
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382624211077
activated,view,org.eclipse.team.svn.ui,0.7.9.I20120520-1700,"org.eclipse.team.svn.ui.repository.RepositoriesView",1382624219876
started,bundle,org.eclipse.equinox.security.ui,1.1.0.v20101004,"org.eclipse.equinox.security.ui",1382624221816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624221851
error,log,,,"SVN: 'Load Authorization Info' operation finished with error",1382624421962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624421978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624422014
error,log,,,"SVN: 'Load Authorization Info' operation finished with error",1382624422694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624422708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624423020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624614895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624615029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624615618
opened,view,org.eclipse.team.svn.ui,0.7.9.I20120520-1700,"org.eclipse.team.svn.ui.properties.PropertiesView",1382624634352
activated,view,org.eclipse.team.svn.ui,0.7.9.I20120520-1700,"org.eclipse.team.svn.ui.properties.PropertiesView",1382624634362
activated,view,org.eclipse.team.svn.ui,0.7.9.I20120520-1700,"org.eclipse.team.svn.ui.repository.RepositoriesView",1382624635636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624643187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624655635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624655918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624660011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624660026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624660073
error,log,,,"SVN: '0x00400107: Get Repository Resource Revision' operation finished with error",1382624660230
error,log,,,"SVN: '0x00400107: Get Repository Resource Revision' operation finished with error",1382624660330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624665196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624755565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624777733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382624935719
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1382624938031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382625038338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382625039832
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382625041880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.exit",1382625042046
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1382625042122
stopped,bundle,org.eclipse.emf.eef.codegen.ecore,1.0.2.v20120216-1513,"org.eclipse.emf.eef.codegen.ecore",1382625042122
stopped,bundle,org.eclipse.emf.eef.codegen,1.0.2.v20120216-1513,"org.eclipse.emf.eef.codegen",1382625042123
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1382625042123
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1382625042124
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1382625042124
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1382625042126
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1382625042127
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1382625042127
stopped,bundle,com.instantiations.assist.eclipse.analysis.dependency.ui,7.1.0.r37x201109091206,"com.instantiations.assist.eclipse.analysis.dependency.ui",1382625042128
stopped,bundle,com.instantiations.assist.eclipse.doc,7.1.0.r37x201109091206,"com.instantiations.assist.eclipse.doc",1382625042128
stopped,bundle,com.instantiations.eclipse.analysis.audit.webservices.ui,7.1.0.r37x201109091206,"com.instantiations.eclipse.analysis.audit.webservices.ui",1382625042128
stopped,bundle,com.instantiations.eclipse.analysis.spelling,7.1.0.r37x201109091206,"com.instantiations.eclipse.analysis.spelling",1382625042129
stopped,bundle,com.instantiations.eclipse.analysis.team.ui,7.1.0.r37x201109091206,"com.instantiations.eclipse.analysis.team.ui",1382625042130
stopped,bundle,com.instantiations.eclipse.analysis.ui.audit.spring,7.1.0.r37x201109091206,"com.instantiations.eclipse.analysis.ui.audit.spring",1382625042130
stopped,bundle,com.instantiations.eclipse.analysis.ui.audit.struts,7.1.0.r37x201109091206,"com.instantiations.eclipse.analysis.ui.audit.struts",1382625042130
stopped,bundle,com.instantiations.assist.eclipse.analysis.ui,7.1.0.r37x201109091206,"com.instantiations.assist.eclipse.analysis.ui",1382625042131
stopped,bundle,com.instantiations.eclipse.analysis.deadcode.ui,7.1.0.r37x201109091206,"com.instantiations.eclipse.analysis.deadcode.ui",1382625042131
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1382625042132
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1382625042132
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1382625042132
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1382625042132
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1382625042132
stopped,bundle,org.eclipse.emf.compare.ui,1.2.2.v20120214-0915,"org.eclipse.emf.compare.ui",1382625042133
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1382625042133
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1382625042134
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1382625042134
stopped,bundle,com.instantiations.assist.eclipse.junit.editor,7.1.0.r37x201109091155,"com.instantiations.assist.eclipse.junit.editor",1382625042134
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1382625042135
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1382625042135
stopped,bundle,com.instantiations.eclipse.coverage.codepro.ui,7.1.0.r37x201109091140,"com.instantiations.eclipse.coverage.codepro.ui",1382625042136
stopped,bundle,com.instantiations.assist.eclipse.coverage.ui,7.1.0.r37x201109091130,"com.instantiations.assist.eclipse.coverage.ui",1382625042136
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1382625042142
stopped,bundle,com.instantiations.assist.eclipse.ant.ui.task,7.1.0.r37x201109091147,"com.instantiations.assist.eclipse.ant.ui.task",1382625042142
stopped,bundle,com.instantiations.eclipse.junit.ejb3,7.1.0.r37x201109091155,"com.instantiations.eclipse.junit.ejb3",1382625042143
stopped,bundle,com.instantiations.eclipse.junit.jsf,7.1.0.r37x201109091155,"com.instantiations.eclipse.junit.jsf",1382625042143
stopped,bundle,com.instantiations.eclipse.junit.spring,7.1.0.r37x201109091155,"com.instantiations.eclipse.junit.spring",1382625042143
stopped,bundle,com.instantiations.eclipse.junit.struts2,7.1.0.r37x201109091155,"com.instantiations.eclipse.junit.struts2",1382625042144
stopped,bundle,com.instantiations.assist.eclipse.junit,7.1.0.r37x201109091155,"com.instantiations.assist.eclipse.junit",1382625042144
stopped,bundle,com.instantiations.eclipse.analysis.similarcode.help,7.1.0.r37x201109091143,"com.instantiations.eclipse.analysis.similarcode.help",1382625042145
stopped,bundle,com.instantiations.assist.eclipse,7.1.0.r37x201109091135,"com.instantiations.assist.eclipse",1382625042145
stopped,bundle,com.instantiations.assist.eclipse.admin,7.1.0.r37x201109091135,"com.instantiations.assist.eclipse.admin",1382625042145
stopped,bundle,com.instantiations.assist.eclipse.ant.ui,7.1.0.r37x201109091147,"com.instantiations.assist.eclipse.ant.ui",1382625042146
stopped,bundle,com.instantiations.assist.eclipse.javadoc,7.1.0.r37x201109091206,"com.instantiations.assist.eclipse.javadoc",1382625042146
stopped,bundle,com.instantiations.assist.eclipse.pattern,7.1.0.r37x201109091135,"com.instantiations.assist.eclipse.pattern",1382625042146
stopped,bundle,com.instantiations.assist.eclipse.scheduler,7.1.0.r37x201109091135,"com.instantiations.assist.eclipse.scheduler",1382625042147
stopped,bundle,com.instantiations.eclipse.analysis.similarcode.ui,7.1.0.r37x201109091143,"com.instantiations.eclipse.analysis.similarcode.ui",1382625042147
stopped,bundle,com.instantiations.eclipse.mail.ui,7.1.0.r37x201109091135,"com.instantiations.eclipse.mail.ui",1382625042148
stopped,bundle,com.instantiations.swt.grid,7.1.0.r37x201109091155,"com.instantiations.swt.grid",1382625042148
stopped,bundle,com.instantiations.assist.eclipse.core.ui,7.1.0.r37x201109091135,"com.instantiations.assist.eclipse.core.ui",1382625042149
stopped,bundle,com.instantiations.eclipse.analysis.similarcode,7.1.0.r37x201109091143,"com.instantiations.eclipse.analysis.similarcode",1382625042149
stopped,bundle,com.instantiations.eclipse.analysis.utilities.ui,7.1.0.r37x201109091123,"com.instantiations.eclipse.analysis.utilities.ui",1382625042149
stopped,bundle,com.instantiations.assist.eclipse.analysis.ant,7.1.0.r37x201109091206,"com.instantiations.assist.eclipse.analysis.ant",1382625042150
stopped,bundle,com.instantiations.eclipse.analysis.audit.hibernate,7.1.0.r37x201109091206,"com.instantiations.eclipse.analysis.audit.hibernate",1382625042151
stopped,bundle,com.instantiations.eclipse.analysis.audit.javaserverfaces,7.1.0.r37x201109091206,"com.instantiations.eclipse.analysis.audit.javaserverfaces",1382625042152
