what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059415515
opened,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385059439065
activated,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385059439078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059439096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059440661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059506369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059507809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059518006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059523428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059525569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059536734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059620028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059628919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059649974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059650040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059650041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059650042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059650043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059652133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059969242
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1385059973180
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385059977490
activated,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385059979276
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385059980031
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385059980031
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385059980963
activated,editor,org.unicase.ui.dashboard,0.5.2,"org.unicase.ui.dashboard",1385059982363
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385059983620
closed,editor,org.unicase.ui.dashboard,0.5.2,"org.unicase.ui.dashboard",1385059983620
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385059985034
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385059985034
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385059985900
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385059985900
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1385059986161
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385059986164
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1385059987699
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1385059987743
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1385059987744
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1385059987800
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1385059991109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385059993295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060007530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060011379
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1385060112875
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1385060112879
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1385060112881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1385060112967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060112977
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385060118893
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385060118964
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1385060118985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060120941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060151011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060158598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060166392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060167150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060168151
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1385060171154
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1385060171154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060173372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060192633
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385060192685
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385060192744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060195430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060196408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060197357
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060209006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060221151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060233040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060238455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060240160
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1385060242472
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1385060242479
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1385060242509
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1385060242511
started,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1385060242511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1385060248829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1385060252211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385060257384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060258176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060297813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060322664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060331846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385060352462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060353127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060386594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060412736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060417658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1385060433499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060438211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060439895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1385060475429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1385060485206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385060488245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060490018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060515119
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1385060527193
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1385060530335
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1385060530820
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385060533799
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1385060533830
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385060539031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385060541418
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385060542159
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385060553411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060559251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060562211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060572268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060573666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1385060579530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1385060580834
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1385060586429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385060631516
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385060652366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060652846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060666022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060666862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060687422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060700481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060731915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060738889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060742960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060747778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060750884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1385060772270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060787017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060801838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385060803776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060809398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060819967
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1385060823039
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1385060823806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060824772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060849379
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1385060854352
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385060856228
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1385060856276
