what,kind,bundleId,bundleVersion,description,time
error,log,,,"SVN: 'Save Authorization Info' operation finished with error",1382622053280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622053287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622053316
error,log,,,"SVN: 'Save Authorization Info' operation finished with error",1382622054405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622054412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622054424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622054457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622054506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622058497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622058544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622059266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622059300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622059925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622059958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622061041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622061161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622062306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622069892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622071155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622071435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622071460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622073035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622101146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382622101182
