what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229540124
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229540619
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229541124
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229541624
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229542129
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229542764
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229543309
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229543854
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229544385
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229544937
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229545446
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229545971
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229546506
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229547082
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229547677
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229548262
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229548848
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229549480
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229550125
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229550759
activated,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229551348
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229551348
activated,view,org.eclipse.emf.ecp.navigator,0.9.3,"org.eclipse.emf.ecp.navigator.viewer",1385229553525
closed,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385229553525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385229555906
